stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,35542.49,56941.15,53421.15,3520.00
stage-1,33270.75,57404.16,54204.16,3200.00
stage-2,33100.00,56322.98,49922.98,6400.00
stage-3,33779.75,57083.84,50683.84,6400.00
stage-4,28824.28,57763.10,51363.10,6400.00
stage-5,34674.92,55762.23,49362.23,6400.00
stage-6,30980.33,50482.56,44082.56,6400.00
stage-7,31543.74,52682.17,46282.17,6400.00
stage-8,33127.21,56962.23,50562.23,6400.00
stage-9,33148.12,55481.55,49081.55,6400.00
stage-10,32312.00,49520.99,43120.99,6400.00
stage-11,34805.12,49361.12,42961.12,6400.00
stage-12,34266.03,56160.87,49760.87,6400.00
stage-13,36138.17,37320.41,30920.41,6400.00
