stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,38498.68,44708.54,42148.54,2560.00
stage-1,38618.01,47331.35,44771.35,2560.00
stage-2,36589.71,47138.73,44578.73,2560.00
stage-3,33645.18,42691.10,37571.10,5120.00
stage-4,37572.91,46850.23,41730.23,5120.00
stage-5,35803.72,32513.49,27393.49,5120.00
stage-6,37532.80,46881.74,41761.74,5120.00
stage-7,38055.49,47297.86,42177.86,5120.00
stage-8,36702.13,45761.55,40641.55,5120.00
stage-9,35418.32,36352.99,31232.99,5120.00
stage-10,37576.63,43616.93,38496.93,5120.00
stage-11,36220.20,37824.64,32704.64,5120.00
stage-12,38553.95,22080.35,16960.35,5120.00
