search_time (s),config time (ms)
0,215856.1037219833
1,112083.29077299174
2,53265.27393049586
3,53265.27393049586
4,53265.27393049586
5,53265.27393049586
6,53265.27393049586
7,53265.27393049586
8,53265.27393049586
9,54019.05229697605
10,54019.05229697605
11,54019.05229697605
12,54019.05229697605
13,54019.05229697605
14,112083.29077299174
15,112083.29077299174
16,112083.29077299174
17,112083.29077299174
18,112083.29077299174
19,215856.1037219833
20,215856.1037219833
21,215856.1037219833
22,215856.1037219833
23,215856.1037219833
