stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,49953.11,27351.54,25881.54,1470.00
stage-1,51155.24,26641.24,25441.24,1200.00
stage-2,51155.24,24921.10,23721.10,1200.00
stage-3,51368.88,23551.08,22351.08,1200.00
stage-4,50524.58,27860.67,25660.67,2200.00
stage-5,49316.94,27700.64,26400.64,1300.00
stage-6,51373.34,27720.55,25320.55,2400.00
stage-7,49126.26,27800.43,25400.43,2400.00
stage-8,50211.20,18895.26,17620.26,1275.00
stage-9,50434.79,27930.15,25180.15,2750.00
