stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,33297.74,26657.71,24097.71,2560.00
stage-1,33048.63,27617.15,26081.15,1536.00
stage-2,32425.37,26689.02,25153.02,1536.00
stage-3,33634.49,27424.87,24864.87,2560.00
stage-4,32975.03,27072.77,25632.77,1440.00
stage-5,32411.85,24008.56,22600.56,1408.00
stage-6,33295.25,25152.64,23488.64,1664.00
stage-7,32491.36,23824.49,21264.49,2560.00
stage-8,32706.57,21440.25,18880.25,2560.00
stage-9,33390.25,20640.15,18800.15,1840.00
