search_time (s),config time (ms)
0,230392.8879463208
1,153000.31903445435
2,128766.35293167901
3,115770.6039584538
6,115770.600234059
11,115770.600234059
14,115719.27556878899
20,115719.27556878899
22,118622.13377405902
25,115704.40578363654
26,115704.40578363654
27,114857.84679236652
28,114857.84679236652
30,115022.78597445381
33,123003.26654354708
48,114881.55004391375
50,115030.52813005903
51,115030.52813005903
53,115779.10099173312
54,121316.78338833293
56,124349.01477349266
58,130691.37707495187
61,115075.06780918379
63,114999.9376466501
66,115011.41462391375
68,120745.595958603
70,117477.04011873083
85,115998.40158251897
88,124680.74544781714
104,117482.72270665011
106,117490.13675373312
123,116425.63239902069
125,116425.63239902069
126,118945.83452190792
130,126516.60996221023
131,126596.63939621016
145,118027.03294427654
147,118617.94654327317
159,116437.10937628434
161,116608.467476487
163,114999.08272290658
165,120636.57517354708
175,118262.53955801633
176,127197.72891596743
188,123490.05629960298
190,123490.05629960298
201,116631.1933960143
202,121622.95651060295
213,114889.52103951896
214,116437.77154949476
219,114837.01036478898
221,114829.26820918376
223,114829.26820918376
226,113223.44893463652
228,113223.44893463652
229,115782.36627491376
233,117300.781561789
