search_time (s),config time (ms)
0,48432.430740104995
1,43507.38599705592
2,43507.38599705592
3,43543.59483719691
4,43379.28134454571
5,43379.28134454571
6,43866.53357485504
7,44067.14456440747
8,44549.38126571649
9,43681.17453445483
10,44067.01648969582
11,44165.38520571649
12,44911.78527734853
14,44066.59575903724
15,44066.59604194768
16,44066.72383374889
17,44066.72411665933
18,44067.14467381666
19,44779.36949660725
20,44953.86885727612
21,44066.59593253849
22,44066.59564962805
23,43376.91792758577
24,43318.08901046448
25,43318.08901046448
26,43930.857705083086
27,43681.17442504565
28,43318.13708298684
29,44751.09851571649
30,44751.09851571649
31,43318.40689582951
32,43377.2358129508
33,43543.86436712914
34,43543.54676467455
35,43318.08901046448
36,43318.08901046448
37,43318.08901046448
38,43318.08901046448
39,43318.08901046448
40,43318.13708298684
41,43318.13708298684
42,43318.13708298684
43,43318.13708298684
44,43318.13708298684
45,43318.40689582951
46,43318.40689582951
47,43318.40689582951
48,43318.40689582951
49,43318.40689582951
50,43376.91792758577
51,43376.91792758577
52,43376.91792758577
53,43376.91792758577
54,43376.91792758577
55,43377.2358129508
56,43377.2358129508
57,43377.2358129508
58,43377.2358129508
59,43377.2358129508
60,43379.28134454571
61,43379.28134454571
62,43379.28134454571
63,43379.28134454571
64,43379.28134454571
65,43507.385887646735
66,43507.385887646735
67,43507.385887646735
68,43507.385887646735
69,43507.385887646735
70,43507.38599705592
71,43507.38599705592
72,43507.38599705592
73,43507.38599705592
74,43507.38599705592
75,43507.514071767575
76,43507.514071767575
77,43507.514071767575
78,43507.514071767575
79,43507.514071767575
80,43543.54676467455
81,43543.54676467455
82,43543.54676467455
83,43543.54676467455
84,43543.54676467455
85,43543.59483719691
86,43543.59483719691
87,43543.59483719691
88,43543.59483719691
89,43543.59483719691
90,43543.86436712914
91,43543.86436712914
92,43543.86436712914
93,43543.86436712914
94,43543.86436712914
95,43543.864650039584
96,43543.864650039584
97,43543.864650039584
98,43543.864650039584
99,43543.864650039584
100,43681.17442504565
101,43681.17442504565
