search_time (s),config time (ms)
0,700706.3418360188
1,367964.6747901701
2,168520.69362093817
3,168520.69362093817
4,168435.7474985743
5,168435.7474985743
6,168435.7474985743
7,168435.7474985743
8,168435.7474985743
9,168435.7474985743
10,168435.7474985743
11,168520.69362093817
12,168520.69362093817
13,168520.69362093817
14,168520.69362093817
15,168520.69362093817
16,168675.16411631173
17,168675.16411631173
18,168675.16411631173
19,168675.16411631173
20,168675.16411631173
21,172365.47005572417
22,172365.47005572417
23,172365.47005572417
24,172365.47005572417
25,172365.47005572417
26,175040.7846680926
27,175040.7846680926
28,175040.7846680926
29,175040.7846680926
30,175040.7846680926
31,177631.81981194732
32,177631.81981194732
33,177631.81981194732
34,177631.81981194732
35,177631.81981194732
36,178739.5850030523
37,178739.5850030523
38,178739.5850030523
39,178739.5850030523
40,178739.5850030523
41,180146.2246904662
42,180146.2246904662
43,180146.2246904662
44,180146.2246904662
45,180146.2246904662
46,180205.91066372223
47,180205.91066372223
48,180205.91066372223
49,180205.91066372223
50,180205.91066372223
51,180437.75191650627
52,180437.75191650627
53,180437.75191650627
54,180437.75191650627
55,180437.75191650627
56,185899.04220409266
57,185899.04220409266
58,185899.04220409266
59,185899.04220409266
60,185899.04220409266
64,177884.56745930036
65,176503.91201631175
66,176503.91201631175
67,176503.91201631175
68,176503.91201631175
69,176503.91201631175
70,176503.91201631175
71,177149.66604930043
72,177149.66604930043
73,177149.66604930043
74,177149.66604930043
75,177149.66604930043
76,177579.99970757434
77,177579.99970757434
78,177579.99970757434
79,177579.99970757434
80,177579.99970757434
81,177579.99970757434
82,177589.94498134044
83,177589.94498134044
84,177589.94498134044
85,177589.94498134044
86,177589.94498134044
87,177884.56745930036
88,177884.56745930036
89,177884.56745930036
90,177884.56745930036
91,178036.60187831178
92,178036.60187831178
93,178036.60187831178
94,178036.60187831178
95,178036.60187831178
96,199991.15200540947
97,199991.15200540947
98,199991.15200540947
99,199991.15200540947
100,199991.15200540947
101,300981.0195108892
102,300981.0195108892
103,300981.0195108892
