search_time (s),config time (ms)
0,13188.050822282255
1,5772.444724818977
2,4840.29003489097
3,2748.598471859176
4,2621.8441176141973
5,2553.8188395916395
6,2108.1710683057718
7,2107.2052511320885
9,2107.0770670112497
13,2107.0770670112497
16,2107.0770670112497
17,2107.0770670112497
18,2107.0770670112497
20,2107.34670635267
22,2107.077094363547
23,2107.0291038980813
25,2107.0291038980813
27,2107.0291038980813
29,2107.0291038980813
31,2107.0770670112497
32,2136.5364087080507
33,2150.450649653902
34,2163.782488773386
36,2146.9626345354563
38,2146.9626345354563
39,2192.080136128933
40,2214.0204168564564
41,2214.0204168564564
42,2226.0561409238667
44,2263.6865565354565
46,2215.251765060348
48,2215.203774594882
50,2215.2517377080503
52,2215.203774594882
54,2215.203774594882
55,2215.203774594882
56,2215.203774594882
57,2215.2517377080503
58,2215.2517377080503
59,2215.3799218288896
60,2215.3799218288896
63,2163.782488773386
64,2163.7345256602175
66,2163.7345256602175
67,2236.2498517873196
68,2245.482432343554
69,2245.482432343554
71,2258.869246558015
73,2308.7980168564563
75,2206.651368357336
76,2206.651368357336
77,2206.651368357336
78,2206.779552478175
79,2206.779552478175
80,2206.779552478175
81,2242.375794125684
82,2242.375794125684
83,2242.375794125684
84,2244.4215812787324
85,2244.4215812787324
86,2244.4215812787324
87,2260.2954957080506
88,2260.2955230603484
89,2260.2955230603484
90,2260.2955230603484
91,2294.828950343554
92,2294.828950343554
93,2294.828950343554
95,2228.931967664779
96,2228.931967664779
97,2228.931967664779
98,2228.931967664779
99,2230.9777548178276
100,2230.9777548178276
101,2230.9777548178276
102,2322.481206803476
103,2326.073753851016
104,2331.0274517873204
105,2334.328568245203
106,2336.805792684408
107,2336.805792684408
108,2341.530910343554
110,2343.1129457487314
112,2321.6205733068637
113,2345.8050783348203
114,2345.8050783348203
116,2358.4641565354564
117,2358.4641565354564
118,2362.374408343554
119,2364.004101343554
121,2372.7731469719256
123,2389.5443567427924
124,2389.5443567427924
125,2389.5443567427924
126,2389.5443567427924
127,2389.751292329044
128,2391.149395617904
129,2393.1315361720162
130,2397.5740048662346
131,2404.787902935235
132,2405.648536431847
